algorithm,graph_size,nodes,edges,execution_time_ms,memory_usage_mb,path_length,iterations,complexity,source,timestamp,graph_density,time_per_node,memory_per_node,iteration_efficiency,norm_time,norm_memory,norm_iterations,performance_score,node_range
A*,large,1023,28006,32936.88,0.525,15,435,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125,0.026787029438377206,32.196363636363635,0.0005131964809384164,0.4252199413489736,0.22053564191865221,1.0784492072162093,-0.4937517905481706,0.26841101952889695,"(1008.8, 2007.6]"
A*,large,1031,45436,66227.592,0.958,10,777,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.042786247681108926,64.23626770126091,0.0009291949563530553,0.7536372453928225,0.9922192395622278,2.5203221431879537,-0.40038817357130413,1.0373844030596258,"(1008.8, 2007.6]"
A*,large,1108,21580,26135.967,0.413,9,546,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125,0.017593978587198626,23.588417870036103,0.0003727436823104693,0.4927797833935018,0.06288947889573582,0.7054936210064278,-0.4634495639855034,0.10164451197222006,"(1008.8, 2007.6]"
A*,large,1112,8560,11213.085,0.165,12,694,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125,0.006928750428999734,10.0837095323741,0.0001483812949640288,0.6241007194244604,-0.28302511941536534,-0.12033660560094546,-0.4230465952352805,-0.27546944008386376,"(1008.8, 2007.6]"
A*,large,1221,8942,11786.999,0.198,7,534,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.00600287321598797,9.653561834561835,0.00016216216216216218,0.43734643734643736,-0.26972170853433597,-0.010447906092706266,-0.4667254803706566,-0.24896503166589964,"(1008.8, 2007.6]"
A*,large,1322,41531,54694.681,0.893,11,947,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125,0.02378143821269588,41.37267851739788,0.0006754916792738276,0.716338880484115,0.7248846673312953,2.303874704762634,-0.353979358114967,0.8915933379929876,"(1008.8, 2007.6]"
A*,large,1352,5650,9076.804,0.118,5,865,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140,0.0030932598688676806,6.713612426035503,8.727810650887573e-05,0.639792899408284,-0.3325444270125599,-0.27684475338540737,-0.37636478674684726,-0.32858465571493817,"(1008.8, 2007.6]"
A*,large,1353,28640,40561.407,0.544,5,866,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125,0.015656638545944363,29.978866962305986,0.00040206947524020696,0.6400591278640059,0.39727329852661475,1.1417184584482258,-0.37609179371475115,0.38763332108669646,"(1008.8, 2007.6]"
A*,large,1515,18999,27060.492,0.412,11,651,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.0082830872254993,17.861710891089107,0.0002719471947194719,0.4297029702970297,0.08432010429393771,0.702163660415269,-0.4347852956154128,0.11723282303126463,"(1008.8, 2007.6]"
A*,large,1781,41206,42202.999,0.78,20,841,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.012998000113558221,23.69623750701853,0.0004379562043795621,0.47220662549129705,0.4353256423882575,1.9275891579616937,-0.38291661951715367,0.6599993936109325,"(1008.8, 2007.6]"
A*,large,1798,38193,38978.879,0.836,17,782,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.01182077656308902,21.679020578420467,0.0004649610678531702,0.43492769744160176,0.36059006686693473,2.114066951066585,-0.3990232084108236,0.6918779365075652,"(1008.8, 2007.6]"
A*,large,1812,47263,53399.871,0.998,5,1217,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.01440272409350267,29.470127483443708,0.0005507726269315674,0.6716335540838853,0.6948707812039913,2.6535205668343043,-0.28027123944901977,1.0227067028630918,"(1008.8, 2007.6]"
A*,large,1871,10451,12530.425,0.22,17,1081,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140,0.002987049734621024,6.697180652057723,0.00011758417958311063,0.5777659005879209,-0.25248898457632113,0.0628112269127865,-0.31739829181408946,-0.1690253498258747,"(1008.8, 2007.6]"
A*,large,1977,31707,45964.725,0.69,13,1332,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.008116364507627186,23.2497344461305,0.00034901365705614567,0.6737481031866465,0.5225230040136073,1.627892704757405,-0.24887704075796818,0.6338462226710148,"(1008.8, 2007.6]"
A*,large,1983,43067,55224.415,0.899,10,1337,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140,0.010957670980325705,27.848923348461927,0.00045335350479072114,0.6742309631870903,0.737163979318198,2.3238544683095865,-0.24751207559748767,0.9378354573434322,"(1008.8, 2007.6]"
A*,large,2139,6138,9886.623,0.154,5,1553,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.0013421726928864847,4.62207713884993,7.199625993454885e-05,0.7260402057035998,-0.31377270355527476,-0.15696617210369188,-0.1885455806647299,-0.2197614854412322,"(2007.6, 3006.4]"
A*,large,2400,14429,23202.555,0.306,8,1651,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.002506078921772961,9.667731250000001,0.0001275,0.6879166666666666,-0.00510744245370352,0.3491878377524401,-0.16179226351931203,0.06076271059314151,"(2007.6, 3006.4]"
A*,large,2662,8242,15237.138,0.188,14,1893,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.0011635356236435182,5.723943651389932,7.062359128474831e-05,0.7111194590533434,-0.18974697936992493,-0.04374751200429393,-0.09572794975205565,-0.10974081370875817,"(2007.6, 3006.4]"
A*,large,2753,21060,25490.497,0.469,15,1547,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140,0.0027797371155356947,9.259170722847802,0.00017035960770069014,0.5619324373410824,0.047927389416514116,0.8919714141113184,-0.19018353885730652,0.24990508822350865,"(2007.6, 3006.4]"
A*,large,2892,22255,24847.38,0.462,11,1581,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.0026618355338478314,8.591763485477179,0.00015975103734439835,0.5466804979253111,0.03301984282316573,0.8686616899732073,-0.18090177576603908,0.24025991901011132,"(2007.6, 3006.4]"
A*,large,2925,24026,32707.079,0.483,7,1693,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.002809171372782864,11.18190735042735,0.00016512820512820512,0.5788034188034188,0.21520882095963853,0.9385908623875412,-0.1503265561712758,0.334491042391968,"(2007.6, 3006.4]"
A*,large,2998,24856,39338.859,0.495,7,1874,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125,0.0027663865778164197,13.121700800533688,0.00016511007338225483,0.6250833889259506,0.36893445618127957,0.9785503894814463,-0.10091481736188157,0.4155233427669482,"(2007.6, 3006.4]"
A*,large,3016,10208,12858.77,0.22,6,1315,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140,0.0011225921673682867,4.263517904509284,7.294429708222812e-05,0.4360079575596817,-0.24487789921208258,0.0628112269127865,-0.2535179223036019,-0.14519486486763264,"(3006.4, 4005.2]"
A*,large,3066,9280,17737.744,0.204,16,2118,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125,0.0009875187421054367,5.785304631441617,6.65362035225049e-05,0.6908023483365949,-0.13178256471970332,0.009531857454246237,-0.034304517530432975,-0.052185074931963345,"(3006.4, 4005.2]"
A*,large,3100,30635,45656.526,0.66,17,1419,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.003188853844632504,14.727911612903226,0.00021290322580645163,0.457741935483871,0.5153789058906788,1.5279938870226424,-0.2251266469656074,0.606082048649238,"(3006.4, 4005.2]"
A*,large,3110,47509,70809.788,1.019,19,2167,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.004913543193239418,22.768420578778134,0.000327652733118971,0.6967845659163987,1.0984352163904794,2.723449739248638,-0.020927858957724036,1.2669856988937978,"(3006.4, 4005.2]"
A*,large,3230,42339,47376.674,0.878,20,2054,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125,0.004059476474327567,14.66770092879257,0.00027182662538699693,0.6359133126934985,0.555252189379461,2.253925295895253,-0.05177607158458342,0.9191338045633768,"(3006.4, 4005.2]"
A*,large,3402,14083,22828.908,0.302,14,2186,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125,0.0012171784036268337,6.710437389770723,8.87713109935332e-05,0.6425631981187536,-0.013768634836994382,0.33586799538780504,-0.01574099134789812,0.10211945640097085,"(3006.4, 4005.2]"
A*,large,3418,38169,57276.305,0.796,17,2110,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140,0.0032680880182435496,16.757257167934466,0.0002328847279110591,0.6173200702165009,0.7847270911305521,1.980868527420234,-0.03648846178720178,0.9097023855878614,"(3006.4, 4005.2]"
A*,large,3449,47121,54667.134,1.053,5,2240,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.003962361059629914,15.850140330530587,0.0003053058857639895,0.6494636126413453,0.7242461238220941,2.836668399348036,-0.000999367614708678,1.1866383851851403,"(3006.4, 4005.2]"
A*,large,3727,25363,39387.729,0.55,5,2687,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.0018264104291254386,10.56821277166622,0.0001475717735444057,0.7209551918433056,0.370067269964801,1.1616982219951786,0.12102851773224838,0.5509313365640759,"(3006.4, 4005.2]"
A*,large,3943,15946,26598.033,0.361,10,3010,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140,0.001025907873138443,6.745633527770733,9.15546538168907e-05,0.7633781384732438,0.07360023669595274,0.5323356702661721,0.2092052670992889,0.2717137246871379,"(3006.4, 4005.2]"
A*,large,4030,41693,57096.118,0.838,18,2909,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140,0.0025677978575920114,14.167771215880894,0.00020794044665012405,0.7218362282878412,0.7805503299844221,2.1207268722489023,0.18163297085758273,1.0276367243636357,"(4005.2, 5004.0]"
A*,large,4127,5199,9466.189,0.158,10,2181,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140,0.0003053206124828973,2.293721589532348,3.8284468136661016e-05,0.5284710443421371,-0.3235184254759017,-0.14364632973905683,-0.017105956508378622,-0.1614235705744457,"(4005.2, 5004.0]"
A*,large,4217,42303,66959.424,0.861,5,2647,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125,0.002379397298096302,15.878450082997391,0.0002041735831159592,0.627697415224093,1.009183212896012,2.1973159658455534,0.11010879644840434,1.10553599172999,"(4005.2, 5004.0]"
A*,large,4317,45978,67607.003,1.014,20,2991,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.0024676672156096454,15.660644660643966,0.00023488533703961085,0.6928422515635858,1.0241941893052406,2.7067999362928443,0.20401839948946301,1.3116708416958491,"(4005.2, 5004.0]"
A*,large,4866,37786,53639.818,0.834,8,3368,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140,0.0015961583384340617,11.023390464447184,0.00017139334155363747,0.6921496095355528,0.7004327879343905,2.1074070298842673,0.306936772589693,1.0382588634694503,"(4005.2, 5004.0]"
A*,large,5038,27198,39244.371,0.554,18,2783,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127,0.0010717829782515302,7.789672687574434,0.00010996427153632395,0.5524017467248908,0.36674421045225625,1.1750180643598136,0.14723584881347404,0.5629993745418479,"(5004.0, 6002.8]"
